Index,Description
727,This is a T2 weighted image of a brain with a tumor.
728,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
729,This is a T1 weighted image of a brain with a tumor.
730,This is a T1 weighted image of a brain with a meningioma tumor.
731,This is a T2 weighted image of a brain with a meningioma tumor.
732,This is a T2 weighted image of a brain with a tumor.
733,This is a T1 weighted image of a brain with a tumor.
734,This is a T2 weighted image of a brain with a tumor.
735,This is a T2 weighted image of a brain with a tumor.
736,This is a T1 weighted image of a brain with a glioma tumor.
737,This is a T1 weighted image of a brain with a glioma tumor.
738,This is a T2 weighted image of a brain with a tumor.
739,This is a T2 weighted image of a brain with a tumor.
740,This is a T2 weighted image of a brain with a tumor.
741,This is a T2 weighted image of a brain with a tumor.
742,This is a T2 weighted image of a brain with a tumor.
743,This is a T2 weighted image of a brain with a tumor.
744,This is a T1 weighted image of a brain with a tumor.
745,This is a T2 weighted image of a brain with a tumor.
746,This is a T2 weighted image of a brain with a tumor.
747,This is a T2 weighted image of a brain with a glioma tumor.
748,This is a T2 weighted image of a brain with a glioma tumor.
749,This is a T2 weighted image of a brain with a glioma tumor.
750,This is a T1 weighted image of a brain with a glioma tumor.
751,This is a T1 weighted image of a brain with a glioma tumor.
752,This is a T1 weighted image of a brain with a glioma tumor.
753,This is a T1 weighted image of a brain with a tumor.
754,This is a T1 weighted image of a brain with a tumor.
755,This is a T1 weighted image of a brain with a tumor.
756,This is a T2 weighted image of a brain with a tumor.
757,This is a T2 weighted image of a brain with a meningioma tumor.
758,This is a T2 weighted image of a brain with a tumor.
759,This is a T2 weighted image of a brain with a tumor.
760,This is a T2 weighted image of a brain with a tumor.
761,This is a T1 weighted image of a brain with a tumor.
762,This is a T2 weighted image of a brain with a tumor.
763,This is a T2 weighted image of a brain with a tumor.
764,This is a T2 weighted image of a brain with a tumor.
765,This is a T2 weighted image of a brain with a tumor.
766,This is a T1 weighted image of a brain with a tumor.
767,This is a T2 weighted image of a brain with a glioma tumor.
768,This is a T2 weighted image of a brain with a glioma tumor.
769,This is a T2 weighted image of a brain with a tumor.
770,This is a T2 weighted image of a brain with glioma tumor.
771,This is a T1 weighted image of a brain with a glioma tumor.
772,This is a T2 weighted image of a brain with a tumor.
773,This is a T2 weighted image of a brain with a tumor.
774,This is a T1 weighted image of a brain with a tumor.
775,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
776,This is a T2 weighted image of a brain with a meningioma tumor.
777,This is a T2 weighted image of a brain with a glioblastoma tumor.
778,This is a T1 weighted image of a brain with a tumor.
779,This is a T2 weighted image of a brain with a cystic tumor.
780,This is a T2 weighted image of a brain with a meningioma tumor.
781,This is a T1 weighted image of a brain with a meningioma tumor.
782,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
783,This is a T2 weighted image of a brain with a glioma tumor.
784,This is a T2 weighted image of a brain with a tumor.
785,This is a T2 weighted image of a brain with a glioma tumor.
786,This is a T2 weighted image of a brain with a glioma tumor.
787,This is a T1 weighted image of a brain with a tumor.
788,This is a T2 weighted image of a brain with a tumor.
789,This is a T1 weighted image of a brain with a tumor.
790,This is a T2 weighted image of a brain with a tumor.
791,This is a T2 weighted image of a brain with a meningioma tumor.
792,This is a T2 weighted image of a brain with a meningioma tumor.
793,This is a T1 weighted image of a brain with a glioma tumor.
794,This is a T2 weighted image of a brain with a cystic lesion.
795,This is a T1 weighted image of a brain with a tumor.
796,This is a T2 weighted image of a brain with a cystic lesion.
797,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
798,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
799,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
800,This is a T1 weighted image of a brain with a tumor.
801,This is a T1 weighted image of a brain with a glioma tumor.
802,This is a T2 weighted image of a brain with a cystic tumor.
803,This is a T1 weighted image of a brain with a glioma tumor.
804,This is a T2 weighted image of a brain with a cystic tumor.
805,This is a T2 weighted image of a brain with a glioma tumor.
806,This is a T2 weighted image of a brain with a meningioma tumor.
807,This is a T2 weighted image of a brain with a tumor.
808,This is a T1 weighted image of a brain with a tumor.
809,This is a T1 weighted image of a brain with a tumor.
810,This is a T2 weighted image of a brain with a tumor.
811,This is a T2 weighted image of a brain with a tumor.
812,This is a T2 weighted image of a brain with a tumor.
813,This is a T1 weighted image of a brain with a tumor.
814,This is a T1 weighted image of a brain with a tumor.
815,This is a T2 weighted image of a brain with a glioma tumor.
816,This is a T1 weighted image of a brain with a tumor.
817,This is a T2 weighted image of a brain with a tumor.
818,This is a T2 weighted image of a brain with a tumor.
819,This is a T2 weighted image of a brain with a tumor.
820,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
821,This is a T2 weighted image of a brain with a tumor.
822,This is a T2 weighted image of a brain with a meningioma tumor.
823,This is a T2 weighted image of a brain with a glioma tumor.
824,This is a T2 weighted image of a brain with a tumor.
825,This is a T2 weighted image of a brain with a cystic lesion.
826,This is a T2 weighted image of a brain with a glioma tumor.
827,This is a T2 weighted image of a brain with a glioma tumor.
828,This is a T2 weighted image of a brain with a glioma tumor.
829,This is a T2 weighted image of a brain with a meningioma tumor.
830,This is a T2 weighted image of a brain with a meningioma tumor.
831,This is a T2 weighted image of a brain with a meningioma tumor.
832,This is a T2 weighted image of a brain with a glioma tumor.
833,This is a T2 weighted image of a brain with a glioma tumor.
834,This is a T2 weighted image of a brain with a glioma tumor.
835,This is a T2 weighted image of a brain with a glioma tumor.
836,This is a T2 weighted image of a brain with a glioma tumor.
837,This is a T1 weighted image of a brain with a tumor.
838,This is a T1 weighted image of a brain with a glioblastoma tumor.
839,This is a T1 weighted image of a brain with a glioma tumor.
840,This is a T1 weighted image of a brain with a glioblastoma tumor.
841,This is a T2 weighted image of a brain with a glioma tumor.
842,This is a T2 weighted image of a brain with a cystic tumor.
843,This is a T2 weighted image of a brain with a tumor.
844,This is a T2 weighted image of a brain with a glioma tumor.
845,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
846,This is a T2 weighted image of a brain with a glioma tumor.
847,This is a T1 weighted image of a brain with a glioblastoma tumor.
848,This is a T2 weighted image of a brain with a tumor.
849,This is a T2 weighted image of a brain with a glioma tumor.
850,This is a T2 weighted image of a brain with a glioma tumor.
851,This is a T2 weighted image of a brain with a glioma tumor.
852,This is a T2 weighted image of a brain with a glioma tumor.
853,This is a T2 weighted image of a brain with a meningioma tumor.
854,This is a T2 weighted image of a brain with a pituitary tumor.
855,This is a T2 weighted image of a brain with a glioma tumor.
856,This is a T2 weighted image of a brain with a meningioma tumor.
857,This is a T2 weighted image of a brain with a glioma tumor.
858,This is a T2 weighted image of a brain with a glioma tumor.
859,This is a T2 weighted image of a brain with a glioma tumor.
860,This is a T2 weighted image of a brain with a glioma tumor.
861,This is a T2 weighted image of a brain with a meningioma tumor.
862,This is a T2 weighted image of a brain with a meningioma tumor.
863,This is a T2 weighted image of a brain with a meningioma tumor.
864,This is a T2 weighted image of a brain with a glioma tumor.
865,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
866,This is a T2 weighted image of a brain with a glioma tumor.
867,This is a T2 weighted image of a brain with a glioma tumor.
868,This is a T2 weighted image of a brain with a glioma tumor.
869,This is a T2 weighted image of a brain with a glioma tumor.
870,This is a T2 weighted image of a brain with a glioma tumor.
871,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
872,This is a T2 weighted image of a brain with a glioma tumor.
873,This is a T1 weighted image of a brain with a glioma tumor.
874,This is a T1 weighted image of a brain with a glioma tumor.
875,This is a T1 weighted image of a brain with a glioma tumor.
876,This is a T2 weighted image of a brain with a glioma tumor.
877,This is a T2 weighted image of a brain with a glioma tumor.
878,This is a T2 weighted image of a brain with a glioma tumor.
879,This is a T2 weighted image of a brain with a glioblastoma tumor.
880,This is a T2 weighted image of a brain with a glioblastoma tumor.
881,This is a T2 weighted image of a brain with a glioma tumor.
882,This is a T2 weighted image of a brain with a glioma tumor.
883,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
884,This is a T2 weighted image of a brain with a cystic tumor.
885,This is a T2 weighted image of a brain with a glioma tumor.
886,This is a T2 weighted image of a brain with a glioma tumor.
887,This is a T1 weighted image of a brain with a glioma tumor.
888,This is a T2 weighted image of a brain with a glioma tumor.
889,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
890,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
891,This is a T1 weighted image of a brain with glioblastoma multiforme tumor.
892,This is a T2 weighted image of a brain with a glioma tumor.
893,This is a T1 weighted image of a brain with a glioma tumor.
894,This is a T1 weighted image of a brain with a glioma tumor.
895,This is a T2 weighted image of a brain with glioma tumor.
896,This is a T2 weighted image of a brain with a glioma tumor.
897,This is a T2 weighted image of a brain with a glioma tumor.
898,This is a T1 weighted image of a brain with a glioblastoma tumor.
899,This is a T2 weighted image of a brain with a glioma tumor.
900,This is a T2 weighted image of a brain with a glioma tumor.
901,This is a T2 weighted image of a brain with a glioma tumor.
902,This is a T2 weighted image of a brain with a glioma tumor.
903,This is a T2 weighted image of a brain with a tumor.
904,This is a T2 weighted image of a brain with a meningioma tumor.
905,This is a T2 weighted image of a brain with a glioma tumor.
906,This is a T2 weighted image of a brain with a glioma tumor.
907,This is a T2 weighted image of a brain with a glioma tumor.
908,This is a T2 weighted image of a brain with a glioma tumor.
909,This is a T2 weighted image of a brain with a glioma tumor.
910,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
911,This is a T2 weighted image of a brain with a glioma tumor.
912,This is a T2 weighted image of a brain with a glioma tumor.
913,This is a T2 weighted image of a brain with a glioma tumor.
914,This is a T2 weighted image of a brain with a tumor.
915,This is a T2 weighted image of a brain with a glioma tumor.
916,This is a T2 weighted image of a brain with a glioma tumor.
917,This is a T2 weighted image of a brain with a glioma tumor.
918,This is a T2 weighted image of a brain with a glioma tumor.
919,This is a T1 weighted image of a brain with a glioma tumor.
920,This is a T2 weighted image of a brain with a glioma tumor.
921,This is a T2 weighted image of a brain with a meningioma tumor.
922,This is a T2 weighted image of a brain with a pituitary tumor.
923,This is a T2 weighted image of a brain with a meningioma tumor.
924,This is a T2 weighted image of a brain with a glioma tumor.
925,This is a T2 weighted image of a brain with a glioma tumor.
926,This is a T2 weighted image of a brain with a tumor.
927,This is a T1 weighted image of a brain with a glioma tumor.
928,This is a T2 weighted image of a brain with a glioma tumor.
929,This is a T2 weighted image of a brain with a glioma tumor.
930,This is a T1 weighted image of a brain with a glioma tumor.
931,This is a T1 weighted image of a brain with a glioma tumor.
932,This is a T1 weighted image of a brain with a glioma tumor.
933,This is a T2 weighted image of a brain with a glioma tumor.
934,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
935,This is a T2 weighted image of a brain with a glioma tumor.
936,This is a T2 weighted image of a brain with a glioma tumor.
937,This is a T2 weighted image of a brain with a glioma tumor.
938,This is a T2 weighted image of a brain with a glioma tumor.
939,This is a T2 weighted image of a brain with a glioma tumor.
940,This is a T2 weighted image of a brain with a cystic tumor.
941,This is a T2 weighted image of a brain with a cystic tumor.
942,This is a T1 weighted image of a brain with a cystic tumor.
943,This is a T2 weighted image of a brain with a cystic tumor.
944,This is a T2 weighted image of a brain with a glioma tumor.
945,This is a T2 weighted image of a brain with a meningioma tumor.
946,This is a T1 weighted image of a brain with a meningioma tumor.
947,This is a T1 weighted image of a brain with a tumor.
948,This is a T2 weighted image of a brain with a meningioma tumor.
949,This is a T2 weighted image of a brain with a cystic tumor.
950,This is a T2 weighted image of a brain with a pituitary tumor.
951,This is a T2 weighted image of a brain with a meningioma tumor.
952,This is a T2 weighted image of a brain with a meningioma tumor.
953,This is a T2 weighted image of a brain with a meningioma tumor.
954,This is a T1 weighted image of a brain with a glioma tumor.
955,This is a T1 weighted image of a brain with a meningioma tumor.
956,This is a T1 weighted image of a brain with a meningioma tumor.
957,This is a T1 weighted image of a brain with a glioma tumor.
958,This is a T1 weighted image of a brain with a pituitary tumor.
959,This is a T2 weighted image of a brain with a glioma tumor.
960,This is a T2 weighted image of a brain with a glioma tumor.
961,This is a T2 weighted image of a brain with a meningioma tumor.
962,This is a T2 weighted image of a brain with a meningioma tumor.
963,This is a T2 weighted image of a brain with a meningioma tumor.
964,This is a T2 weighted image of a brain with a meningioma tumor.
965,This is a T2 weighted image of a brain with a meningioma tumor.
966,This is a T2 weighted image of a brain with a meningioma tumor.
967,This is a T2 weighted image of a brain with a meningioma tumor.
968,This is a T2 weighted image of a brain with a tumor.
969,This is a T1 weighted image of a brain with a tumor.
970,This is a T2 weighted image of a brain with a glioma tumor.
971,This is a T2 weighted image of a brain with a glioma tumor.
972,This is a T2 weighted image of a brain with a meningioma tumor.
973,This is a T2 weighted image of a brain with a tumor.
974,This is a T2 weighted image of a brain with a cystic tumor.
975,This is a T2 weighted image of a brain with a cystic tumor.
976,This is a T2 weighted image of a brain with a cystic lesion.
977,This is a T1 weighted image of a brain with a tumor.
978,This is a T2 weighted image of a brain with a meningioma tumor.
979,This is a T2 weighted image of a brain with a cystic lesion.
980,This is a T2 weighted image of a brain with a meningioma tumor.
981,This is a T2 weighted image of a brain with a meningioma tumor.
982,This is a T2 weighted image of a brain with a glioma tumor.
983,This is a T2 weighted image of a brain with a glioma tumor.
984,This is a T2 weighted image of a brain with a glioma tumor.
985,This is a T2 weighted image of a brain with a glioma tumor.
986,This is a T2 weighted image of a brain with a meningioma tumor.
987,This is a T1 weighted image of a brain with a glioma tumor.
988,This is a T2 weighted image of a brain with a cystic lesion.
989,This is a T1 weighted image of a brain with a glioma tumor.
990,This is a T1 weighted image of a brain with a cystic tumor.
991,This is a T1 weighted image of a brain with a cystic tumor.
992,This is a T2 weighted image of a brain with a glioma tumor.
993,This is a T2 weighted image of a brain with a glioma tumor.
994,This is a T2 weighted image of a brain with a glioma tumor.
995,This is a T2 weighted image of a brain with a meningioma tumor.
996,This is a T2 weighted image of a brain with a glioblastoma tumor.
997,This is a T2 weighted image of a brain with a cystic tumor.
998,This is a T2 weighted image of a brain with a meningioma tumor.
999,This is a T2 weighted image of a brain with a glioma tumor.
1000,This is a T1 weighted image of a brain with a glioma tumor.
1001,This is a T2 weighted image of a brain with a tumor.
1002,This is a T2 weighted image of a brain with a cystic tumor.
1003,This is a T1 weighted image of a brain with a tumor.
1004,This is a T2 weighted image of a brain with a glioma tumor.
1005,This is a T1 weighted image of a brain with a tumor.
1006,This is a T2 weighted image of a brain with a meningioma tumor.
1007,This is a T2 weighted image of a brain with a cystic lesion.
1008,This is a T2 weighted image of a brain with a cystic tumor.
1009,This is a T1 weighted image of a brain with a meningioma tumor.
1010,This is a T1 weighted image of a brain with a meningioma tumor.
1011,This is a T2 weighted image of a brain with a glioma tumor.
1012,This is a T1 weighted image of a brain with a glioma tumor.
1013,This is a T2 weighted image of a brain with a glioma tumor.
1014,This is a T1 weighted image of a brain with a glioma tumor.
1015,This is a T2 weighted image of a brain with a tumor.
1016,This is a T2 weighted image of a brain with glioma tumor.
1017,This is a T2 weighted image of a brain with a glioma tumor.
1018,This is a T2 weighted image of a brain with a glioma tumor.
1019,This is a T2 weighted image of a brain with a glioma tumor.
1020,This is a T2 weighted image of a brain with a glioma tumor.
1021,This is a T2 weighted image of a brain with a glioma tumor.
1022,This is a T2 weighted image of a brain with a glioma tumor.
1023,This is a T2 weighted image of a brain with a glioma tumor.
1024,This is a T2 weighted image of a brain with a glioma tumor.
1025,This is a T2 weighted image of a brain with a glioma tumor.
1026,This is a T1 weighted image of a brain with a glioma tumor.
1027,This is a T2 weighted image of a brain with a glioma tumor.
1028,This is a T2 weighted image of a brain with a tumor.
1029,This is a T2 weighted image of a brain with a glioma tumor.
1030,This is a T2 weighted image of a brain with a glioma tumor.
1031,This is a T1 weighted image of a brain with a glioma tumor.
1032,This is a T2 weighted image of a brain with a cystic tumor.
1033,This is a T2 weighted image of a brain with a glioma tumor.
1034,This is a T2 weighted image of a brain with a meningioma tumor.
1035,This is a T2 weighted image of a brain with a glioma tumor.
1036,This is a T2 weighted image of a brain with a tumor.
1037,This is a T2 weighted image of a brain with a tumor.
1038,This is a T2 weighted image of a brain with a glioma tumor.
1039,This is a T2 weighted image of a brain with a glioma tumor.
1040,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
1041,This is a T2 weighted image of a brain with a meningioma tumor.
1042,This is a T2 weighted image of a brain with a glioma tumor.
1043,This is a T1 weighted image of a brain with a glioma tumor.
1044,This is a T2 weighted image of a brain with a glioma tumor.
1045,This is a T2 weighted image of a brain with a glioma tumor.
1046,This is a T2 weighted image of a brain with a glioma tumor.
1047,This is a T1 weighted image of a brain with a meningioma tumor.
1048,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
1049,This is a T2 weighted image of a brain with a glioma tumor.
1050,This is a T2 weighted image of a brain with a meningioma tumor.
1051,This is a T2 weighted image of a brain with a meningioma tumor.
1052,This is a T1 weighted image of a brain with a meningioma tumor.
1053,This is a T1 weighted image of a brain with a glioblastoma tumor.
1054,This is a T1 weighted image of a brain with a glioma tumor.
1055,This is a T1 weighted image of a brain with a glioma tumor.
1056,This is a T2 weighted image of a brain with a tumor.
1057,This is a T1 weighted image of a brain with a glioma tumor.
1058,This is a T1 weighted image of a brain with a cystic tumor.
1059,This is a T2 weighted image of a brain with a tumor.
1060,This is a T2 weighted image of a brain with a glioma tumor.
1061,This is a T2 weighted image of a brain with a meningioma tumor.
1062,This is a T2 weighted image of a brain with a pituitary tumor.
1063,This is a T2 weighted image of a brain with a tumor.
1064,This is a T1 weighted image of a brain with a glioma tumor.
1065,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
1066,This is a T2 weighted image of a brain with a meningioma tumor.
1067,This is a T2 weighted image of a brain with a glioma tumor.
1068,This is a T1 weighted image of a brain with a glioma tumor.
1069,This is a T2 weighted image of a brain with a meningioma tumor.
1070,This is a T2 weighted image of a brain with a tumor.
1071,This is a T2 weighted image of a brain with a pituitary tumor.
1072,This is a T2 weighted image of a brain with a tumor.
1073,This is a T2 weighted image of a brain with a glioma tumor.
1074,This is a T2 weighted image of a brain with a glioma tumor.
1075,This is a T2 weighted image of a brain with a tumor.
1076,This is a T1 weighted image of a brain with a tumor.
1077,This is a T1 weighted image of a brain with a tumor.
1078,This is a T2 weighted image of a brain with a meningioma tumor.
1079,This is a T2 weighted image of a brain with a tumor.
1080,This is a T2 weighted image of a brain with a glioma tumor.
1081,This is a T2 weighted image of a brain with a meningioma tumor.
1082,This is a T1 weighted image of a brain with a tumor.
1083,This is a T2 weighted image of a brain with a meningioma tumor.
1084,This is a T1 weighted image of a brain with a cystic tumor.
1085,This is a T1 weighted image of a brain with a tumor.
1086,This is a T2 weighted image of a brain with a glioma tumor.
1087,This is a T2 weighted image of a brain with a tumor.
1088,This is a T1 weighted image of a brain with a tumor.
1089,This is a T1 weighted image of a brain with a tumor.
1090,This is a T2 weighted image of a brain with a meningioma tumor.
1091,This is a T2 weighted image of a brain with a glioma tumor.
1092,This is a T1 weighted image of a brain with a tumor.
1093,This is a T1 weighted image of a brain with a cystic tumor.
1094,This is a T1 weighted image of a brain with a glioma tumor.
1095,This is a T2 weighted image of a brain with a glioma tumor.
1096,This is a T1 weighted image of a brain with a glioma tumor.
1097,This is a T1 weighted image of a brain with a glioblastoma tumor.
1098,This is a T2 weighted image of a brain with a cystic tumor.
1099,This is a T2 weighted image of a brain with a glioma tumor.
1100,This is a T2 weighted image of a brain with a glioma tumor.
1101,This is a T2 weighted image of a brain with a glioma tumor.
1102,This is a T1 weighted image of a brain with a glioma tumor.
1103,This is a T2 weighted image of a brain with a glioma tumor.
1104,This is a T1 weighted image of a brain with a glioma tumor.
1105,This is a T2 weighted image of a brain with a tumor.
1106,This is a T1 weighted image of a brain with a tumor.
1107,This is a T2 weighted image of a brain with a glioma tumor.
1108,This is a T2 weighted image of a brain with a glioma tumor.
1109,This is a T2 weighted image of a brain with a glioma tumor.
1110,This is a T1 weighted image of a brain with a tumor.
1111,This is a T2 weighted image of a brain with a glioma tumor.
1112,This is a T2 weighted image of a brain with a glioma tumor.
1113,This is a T2 weighted image of a brain with a glioma tumor.
1114,This is a T1 weighted image of a brain with a cystic lesion.
1115,This is a T2 weighted image of a brain with a glioma tumor.
1116,This is a T1 weighted image of a brain with a cystic tumor.
1117,This is a T2 weighted image of a brain with a glioma tumor.
1118,This is a T1 weighted image of a brain with a glioma tumor.
1119,This is a T2 weighted image of a brain with a meningioma tumor.
1120,This is a T2 weighted image of a brain with a glioma tumor.
1121,This is a T1 weighted image of a brain with a glioma tumor.
1122,This is a T2 weighted image of a brain with a glioma tumor.
1123,This is a T2 weighted image of a brain with a tumor.
1124,This is a T1 weighted image of a brain with a glioma tumor.
1125,This is a T2 weighted image of a brain with a glioma tumor.
1126,This is a T2 weighted image of a brain with a glioma tumor.
1127,This is a T1 weighted image of a brain with a glioma tumor.
1128,This is a T2 weighted image of a brain with a tumor.
1129,This is a T2 weighted image of a brain with a cystic tumor.
1130,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
1131,This is a T2 weighted image of a brain with a glioma tumor.
1132,This is a T2 weighted image of a brain with a glioma tumor.
1133,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
1134,This is a T2 weighted image of a brain with a meningioma tumor.
1135,This is a T2 weighted image of a brain with a tumor.
1136,This is a T2 weighted image of a brain with a glioma tumor.
1137,This is a T2 weighted image of a brain with a meningioma tumor.
1138,This is a T2 weighted image of a brain with a meningioma tumor.
1139,This is a T2 weighted image of a brain with a tumor.
1140,This is a T2 weighted image of a brain with a glioma tumor.
1141,This is a T2 weighted image of a brain with a glioma tumor.
1142,This is a T2 weighted image of a brain with a glioma tumor.
1143,This is a T1 weighted image of a brain with a glioma tumor.
1144,This is a T2 weighted image of a brain with a cystic lesion.
1145,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
1146,This is a T2 weighted image of a brain with a meningioma tumor.
1147,This is a T2 weighted image of a brain with a glioma tumor.
1148,This is a T2 weighted image of a brain with a glioma tumor.
1149,This is a T2 weighted image of a brain with a tumor.
1150,This is a T2 weighted image of a brain with a meningioma tumor.
1151,This is a T2 weighted image of a brain with a meningioma tumor.
1152,This is a T2 weighted image of a brain with a glioma tumor.
1153,This is a T2 weighted image of a brain with a meningioma tumor.
1154,This is a T2 weighted image of a brain with a glioma tumor.
1155,This is a T1 weighted image of a brain with a glioma tumor.
1156,This is a T2 weighted image of a brain with a glioma tumor.
1157,This is a T2 weighted image of a brain with a meningioma tumor.
1158,This is a T2 weighted image of a brain with a meningioma tumor.
1159,This is a T2 weighted image of a brain with a glioma tumor.
1160,This is a T2 weighted image of a brain with a glioma tumor.
1161,This is a T2 weighted image of a brain with a meningioma tumor.
1162,This is a T1 weighted image of a brain with a meningioma tumor.
1163,This is a T2 weighted image of a brain with a glioma tumor.
1164,This is a T2 weighted image of a brain with a meningioma tumor.
1165,This is a T2 weighted image of a brain with a meningioma tumor.
1166,This is a T2 weighted image of a brain with a meningioma tumor.
1167,This is a T2 weighted image of a brain with a meningioma tumor.
1168,This is a T2 weighted image of a brain with a meningioma tumor.
1169,This is a T2 weighted image of a brain with a glioma tumor.
1170,This is a T2 weighted image of a brain with a glioma tumor.
1171,This is a T2 weighted image of a brain with a glioma tumor.
1172,This is a T2 weighted image of a brain with a tumor.
1173,This is a T2 weighted image of a brain with a glioma tumor.
1174,This is a T2 weighted image of a brain with a tumor.
1175,This is a T2 weighted image of a brain with a glioma tumor.
1176,This is a T1 weighted image of a brain with a glioblastoma tumor.
1177,This is a T2 weighted image of a brain with a cystic tumor.
1178,This is a T2 weighted image of a brain with a glioma tumor.
1179,This is a T2 weighted image of a brain with a glioma tumor.
1180,This is a T2 weighted image of a brain with a glioma tumor.
1181,This is a T2 weighted image of a brain with a glioma tumor.
1182,This is a T1 weighted image of a brain with a glioma tumor.
1183,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
1184,This is a T2 weighted image of a brain with a glioma tumor.
1185,This is a T2 weighted image of a brain with a glioma tumor.
1186,This is a T2 weighted image of a brain with a meningioma tumor.
1187,This is a T2 weighted image of a brain with a glioma tumor.
1188,This is a T1 weighted image of a brain with glioblastoma multiforme tumor.
1189,This is a T2 weighted image of a brain with a glioma tumor.
1190,This is a T2 weighted image of a brain with a glioma tumor.
1191,This is a T2 weighted image of a brain with a cystic tumor.
1192,This is a T2 weighted image of a brain with a tumor.
1193,This is a T2 weighted image of a brain with a cystic tumor.
1194,This is a T2 weighted image of a brain with a cystic tumor.
1195,This is a T2 weighted image of a brain with a cystic tumor.
1196,This is a T1 weighted image of a brain with a glioma tumor.
1197,This is a T2 weighted image of a brain with a meningioma tumor.
1198,This is a T2 weighted image of a brain with a glioma tumor.
1199,This is a T2 weighted image of a brain with a meningioma tumor.
1200,This is a T1 weighted image of a brain with a glioma tumor.
1201,This is a T2 weighted image of a brain with a glioma tumor.
1202,This is a T2 weighted image of a brain with a tumor.
1203,This is a T2 weighted image of a brain with a glioma tumor.
1204,This is a T2 weighted image of a brain with a glioma tumor.
1205,This is a T2 weighted image of a brain with a glioma tumor.
1206,This is a T1 weighted image of a brain with a glioma tumor.
1207,This is a T2 weighted image of a brain with a glioma tumor.
1208,This is a T2 weighted image of a brain with a glioma tumor.
1209,This is a T2 weighted image of a brain with a glioma tumor.
1210,This is a T2 weighted image of a brain with a glioma tumor.
1211,This is a T2 weighted image of a brain with a glioma tumor.
1212,This is a T2 weighted image of a brain with a tumor.
1213,This is a T2 weighted image of a brain with a glioma tumor.
1214,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
1215,This is a T2 weighted image of a brain with a meningioma tumor.
1216,This is a T2 weighted image of a brain with a glioma tumor.
1217,This is a T2 weighted image of a brain with a glioma tumor.
1218,This is a T2 weighted image of a brain with a glioma tumor.
1219,This is a T1 weighted image of a brain with a pituitary tumor.
1220,This is a T2 weighted image of a brain with a tumor.
1221,This is a T2 weighted image of a brain with a meningioma tumor.
1222,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
1223,This is a T2 weighted image of a brain with a tumor.
1224,This is a T2 weighted image of a brain with a glioma tumor.
1225,This is a T2 weighted image of a brain with a glioma tumor.
1226,This is a T2 weighted image of a brain with a glioma tumor.
1227,This is a T1 weighted image of a brain with a glioma tumor.
1228,This is a T2 weighted image of a brain with a glioma tumor.
1229,This is a T1 weighted image of a brain with a glioma tumor.
1230,This is a T2 weighted image of a brain with a glioma tumor.
1231,This is a T2 weighted image of a brain with a glioma tumor.
1232,This is a T1 weighted image of a brain with a meningioma tumor.
1233,This is a T1 weighted image of a brain with a tumor.
1234,This is a T1 weighted image of a brain with a glioma tumor.
1235,This is a T1 weighted image of a brain with a meningioma tumor.
1236,This is a T2 weighted image of a brain with a glioma tumor.
1237,This is a T2 weighted image of a brain with a glioma tumor.
1238,This is a T2 weighted image of a brain with a meningioma tumor.
1239,This is a T2 weighted image of a brain with a glioma tumor.
1240,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
1241,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
1242,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
1243,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
1244,This is a T1 weighted image of a brain with a glioma tumor.
1245,This is a T2 weighted image of a brain with a glioma tumor.
1246,This is a T2 weighted image of a brain with a glioma tumor.
1247,This is a T1 weighted image of a brain with a tumor.
1248,This is a T2 weighted image of a brain with a glioma tumor.
1249,This is a T2 weighted image of a brain with a glioma tumor.
1250,This is a T2 weighted image of a brain with a cystic tumor.
1251,This is a T1 weighted image of a brain with a cystic tumor.
1252,This is a T1 weighted image of a brain with a tumor.
1253,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
1254,This is a T2 weighted image of a brain with a tumor.
